Company,PdfCount,YearsAvailable,Files2022,Files2023,Files2024,Complete2022To2024,Files2025,Files2026,Notes
ABT,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
AMZN,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
Apple,15,2022;2023;2024;2025;2026,3,3,3,True,3,3,Apple ? E/S/G ???????????????????????????????? ???? 2026 ????????????
BAC,4,2022;2023;2024;2025,1,1,1,True,1,0,
COST,4,2022;2023;2024;2025,1,1,1,True,1,0,
CVX,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
ENPH,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
GOOGL,4,2022;2023;2024;2025,1,1,1,True,1,0,
GS,4,2022;2023;2024;2025,1,1,1,True,1,0,2024 ? Goldman Sachs AWM TCFD ??????????????????? 2024 Sustainability Report?
JNJ,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
JPM,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
MS,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
MSFT,4,2022;2023;2024;2025,1,1,1,True,1,0,
NEE,10,2022;2023;2024;2025,1,1,1,True,7,0,2025 ? sustainability resources ?? PDF??????????
NVDA,4,2022;2023;2024;2025,1,1,1,True,1,0,
PFE,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
PG,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
UNH,3,2022;2023;2024,1,1,1,True,0,0,???? 2025 ?????????????/????
WMT,4,2022;2023;2024;2025,1,1,1,True,1,0,
XOM,4,2022;2023;2024;2025,1,1,1,True,1,0,2024 ? Advancing Climate Solutions report?2025 ? Sustainability Report?
