Ticker,Year,Exists,ValidPdf,PdfCount,SizeMB,Pages,Title,Path,Note,SourceUrl
ABT,2022,True,True,1,46.84,146,Abbott Sustainability Report 2022,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2022.pdf,,
ABT,2023,True,True,1,8.7,126,ABT_ESG_2023.pdf,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2023.pdf,,
ABT,2024,True,True,1,7.91,98,ABT_ESG_2024.pdf,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2024.pdf,,
ABT,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.abbott.com/responsibility/sustainability/reporting/current-reports.html
ABT,2026,False,False,0,,,,,,
AMZN,2022,True,True,1,7.94,82,Building a Better Future Together 2022 Amazon Sustainability Report,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2022.pdf,,
AMZN,2023,True,True,1,15.02,98,AMZN_ESG_2023.pdf,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2023.pdf,,
AMZN,2024,True,True,1,6.71,57,2024 Amazon Sustainability Report,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2024.pdf,,
AMZN,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://sustainability.aboutamazon.com/report
AMZN,2026,False,False,0,,,,,,
Apple,2022,True,True,3,45.31,370,Apple E 2022 .pdf | printmgr file | Apple S 2022.pdf,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2022 .pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2022 .pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2022.pdf,"Apple 2022 has separate E, G, S files.",
Apple,2023,True,True,3,43.95,324,Apple E 2023.pdf | Apple_2023_Proxy_Statement__HD (4).pdf | People and Environment in Our Supply Chain,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2023.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2023.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2023.pdf,"Apple 2023 has separate E, G, S files.",
Apple,2024,True,True,3,46.26,291,2024 Environmental Progress Report | HD-export | People and Environment in Our Supply Chain,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2024.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2024.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2024.pdf,"Apple 2024 has separate E, G, S files.",
Apple,2025,True,True,3,39.98,291,Apple 2025 Environmental Progress Report | 434032-PDF_EXPORT_LD-5978d74c-63dc-4306-b788-876312c57bfd.pdf | People and Environment in Our Supply Chain,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2025.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2025.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2025.pdf,"Apple 2025 has separate E, G, S files.",
Apple,2026,True,True,3,38.73,244,Apple 2026 Environmental Progress Report | AAPL_DEF 14A_2026_WO139_EDGAR_00_Courtesy PDF 3.pdf | People and Environment in Our Supply Chain,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2026.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2026.pdf | C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2026.pdf,"Apple 2026 has separate E, G, S files. Extra local 2026 file(s).",
BAC,2022,True,True,1,3.63,63,Task Force on Climate-Related Financial Disclosures Report,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2022.pdf,,
BAC,2023,True,True,1,7.82,73,Managing our Transition to a Sustainable Future,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2023.pdf,,
BAC,2024,True,True,1,18.73,124,2024 Sustainability at Bank of America,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2024.pdf,,
BAC,2025,True,True,1,13.63,62,2025 Sustainability Report,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2025.pdf,Official 2025 Sustainability at Bank of America report is present.,https://about.bankofamerica.com/en/making-an-impact/task-force-on-climate-related-financial-disclosures-report
BAC,2026,False,False,0,,,,,,
COST,2022,True,True,1,60.15,176,Sustainability Commitment - Compiled Version,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2022.pdf,,
COST,2023,True,True,1,52.56,162,2023 Consolidated Commitment,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2023.pdf,,
COST,2024,True,True,1,44.76,185,COST_ESG_2024.pdf,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2024.pdf,,
COST,2025,True,True,1,11.04,86,COST_ESG_2025.pdf,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2025.pdf,Official 2025 Annual Sustainability Report is present.,https://www.costco.com/sustainability-introduction.html
COST,2026,False,False,0,,,,,,
CVX,2022,True,True,1,7.32,84,2022 Corporate Sustainability Report,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2022.pdf,,
CVX,2023,True,True,1,7.68,62,2023 Corporate Sustainability Report,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2023.pdf,,
CVX,2024,True,True,1,5.32,32,2024 Corporate Sustainability Highlights,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2024.pdf,,
CVX,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.chevron.com/investors/reports-and-filings
CVX,2026,False,False,0,,,,,,
